Id,SentenceA,SentenceB,Origin,Logic_label,Commonsense_label,SICK_original,monalog,gkr4nli,langpro,ccg2lambda_easyccg,ccg2lambda_candc
2249,The man is eating cereal,There is no man eating cereal,SICK,C,C,C,C,C,N,N,N
2250,A man is eating a bowl of cereal,Cereal is being eaten by the man,SICK,E,E,E,N,E,E,E,N
2251,There is no man eating cereal,A man is eating a bowl of cereal,SICK,C,C,C,N,C,C,N,N
2252,A man is hungrily eating a bowl of cereal,The man is eating cereal,SICK,E,E,E,N,E,N,E,N
2253,The man is eating cereal,There is no man eating a bowl of cereal,SICK,N,C,C,N,N,N,N,N
2254,A man is eating a bowl of cereal,The man is eating cereal,SICK,E,E,E,N,E,N,E,N
2255,A man is playing the guitar,A man is strumming the guitar,SICK,E,E,E,N,N,N,N,N
2256,A man is packing away the guitar,A man is playing the guitar,SICK,C,C,N,N,N,N,N,N
2257,The man is playing the flute,The person is playing the flute,SICK,E,E,E,E,E,E,E,E
2258,The man in not playing the flute,The man is playing the flute,SICK,C,C,C,N,N,N,E,N
2259,The person is playing the flute,A man is playing the guitar,SICK,N,N,N,N,N,N,N,N
2260,A man is playing the guitar,The man in not playing the flute,SICK,N,N,N,N,N,N,N,N
2261,A man is strumming the guitar,The man is playing the flute,SICK,N,N,N,N,N,N,N,N
2262,A man is packing away the guitar,The man is playing the flute,SICK,N,N,N,N,N,N,N,N
2263,The man is playing the flute,A man is playing the guitar,SICK,N,N,N,N,N,N,N,N
2265,There is no woman adding spices to some meat,A woman is adding spices to some meat,SICK,C,C,C,C,C,C,C,C
2266,The woman is adding sugar to the meat slowly,The woman is adding sugar to the meat,SICK,E,E,E,E,E,E,E,E
2267,The woman is adding sugar to the meat,The woman is not adding sugar to the meat,SICK,C,C,C,C,C,C,C,C
2268,A woman is adding spices to some meat,The woman is adding sugar to the meat slowly,SICK,N,N,N,N,N,N,N,N
2269,The woman is not adding sugar to the meat,A woman is adding spices to some meat,SICK,N,N,N,N,N,N,N,N
2270,A woman is adding spices to some meat,The woman is adding sugar to the meat,SICK,N,N,N,N,N,N,N,N
2271,The woman is adding sugar to the meat,There is no woman adding spices to some meat,SICK,C,C,N,N,N,N,N,N
2272,The woman is adding sugar to the meat,A woman is adding spices to some meat,SICK,E,E,E,N,N,N,N,N
2273,A dog is biting a can,A can is being bitten by a dog,SICK,E,E,E,N,E,E,E,E
2274,A dog is biting a can,A dog is dropping a can,SICK,N,N,N,N,N,N,N,N
2275,A dog is opening a can of food,A dog is opening a jar of food,SICK,C,E,N,N,Exception,N,N,N
2276,A dog is opening a can of food,A dog is closing a can of food,SICK,C,C,N,C,Exception,N,N,N
2277,A dog is biting a can,A dog is opening a jar of food,SICK,N,N,N,N,N,N,N,N
2278,A dog is closing a can of food,A dog is biting a can,SICK,N,N,N,N,N,N,N,N
2279,A can is being bitten by a dog,A dog is opening a can of food,SICK,N,N,N,N,N,N,N,N
2280,A dog is dropping a can,A dog is opening a can of food,SICK,C,C,N,N,N,N,N,N
2281,A dog is opening a can of food,A dog is biting a can,SICK,E,E,E,N,N,N,N,N
2282,A cat is playing with a watermelon,One cat is playing with a watermelon,SICK,E,E,E,N,E,E,E,E
2283,A cat is playing with a watermelon,There is no cat playing with a watermelon,SICK,C,C,C,C,C,C,C,N
2284,The cat is playing passionately with a watermelon,The cat is playing with a watermelon,SICK,E,E,E,N,E,E,E,E
2285,The cat is playing with a watermelon,The cat isn't playing with a watermelon,SICK,C,C,C,C,C,C,C,C
2286,The cat is playing passionately with a watermelon,A cat is playing with a watermelon,SICK,E,E,E,N,E,E,E,E
2287,A cat is playing with a watermelon,The cat isn't playing with a watermelon,SICK,C,C,C,C,C,C,C,C
2288,One cat is playing with a watermelon,The cat is playing with a watermelon,SICK,E,E,E,N,N,E,E,E
2289,The cat is playing with a watermelon,There is no cat playing with a watermelon,SICK,C,C,C,C,C,C,C,N
2290,A cat is playing with a watermelon,The cat is playing with a watermelon,SICK,E,E,E,E,E,E,E,E
2291,The boy is playing a guitar,A boy is playing a guitar,SICK,E,E,E,E,E,E,E,E
2292,There is no boy playing a guitar,A boy is playing a guitar,SICK,C,C,C,C,C,C,C,C
2293,A teenager is playing the guitar,A kid is playing a guitar,SICK,N,N,N,N,N,N,N,N
2294,A kid is putting the guitar away,A kid is playing a guitar,SICK,C,C,N,N,N,N,N,N
2295,A teenager is playing the guitar,A boy is playing a guitar,SICK,N,N,N,N,E,N,N,N
2296,A boy is playing a guitar,A kid is putting the guitar away,SICK,N,N,N,N,N,N,N,N
2297,The boy is playing a guitar,A kid is playing a guitar,SICK,E,E,E,E,N,E,E,E
2298,There is no boy playing a guitar,A kid is playing a guitar,SICK,N,N,N,N,C,N,N,N
2299,A boy is playing a guitar,A kid is playing a guitar,SICK,E,E,E,E,N,E,E,E
2300,A woman is wakeboarding on a lake,One woman is wakeboarding on the lake,SICK,E,E,E,N,E,E,E,E
2301,A woman is wakeboarding on a lake,A woman is watching the lake,SICK,N,N,N,N,N,N,N,N
2302,The woman is waterskiing fearlessly,The woman is waterskiing,SICK,E,E,E,E,E,E,E,E
2303,The woman is waterskiing,The woman is not waterskiing,SICK,C,C,C,C,C,C,C,C
2304,A woman is wakeboarding on a lake,The woman is waterskiing fearlessly,SICK,N,N,N,N,N,N,N,N
2305,A woman is wakeboarding on a lake,The woman is not waterskiing,SICK,E,E,C,N,C,N,N,N
2306,One woman is wakeboarding on the lake,The woman is waterskiing,SICK,N,N,N,N,N,N,N,N
2307,The woman is waterskiing,A woman is watching the lake,SICK,N,N,N,N,N,N,N,N
2308,The woman is waterskiing,A woman is wakeboarding on a lake,SICK,N,N,N,N,N,N,N,N
2309,Someone is banging the lens of a camera against a nail,Someone is banging a camera lens against a nail,SICK,E,E,E,N,E,E,N,N
2310,Someone is banging a camera lens against a nail,There is no one banging a camera lens against a nail,SICK,C,C,C,C,C,C,C,N
2311,Someone is nailing a camera lens with loud bangs,Someone is banging a camera lens against a nail,SICK,N,N,N,N,N,N,N,N
2312,A camera is being hammered onto the nail by the man,The man is hammering a nail with a camera,SICK,C,C,E,N,E,N,N,N
2313,The man is hammering a nail with a camera,The man is not hammering a nail with a camera,SICK,C,C,C,C,C,C,N,C
2314,The man is hammering a nail with a camera,The camera man is nailing a hammer to the wall,SICK,N,N,N,N,N,N,N,N
2315,Someone is banging a camera lens against a nail,A camera is being hammered onto the nail by the man,SICK,N,N,N,N,N,N,N,N
2316,Someone is banging a camera lens against a nail,The man is not hammering a nail with a camera,SICK,C,C,C,N,N,N,N,N
2317,The camera man is nailing a hammer to the wall,Someone is banging a camera lens against a nail,SICK,N,N,N,N,N,N,N,N
2318,Someone is banging the lens of a camera against a nail,The man is hammering a nail with a camera,SICK,E,E,E,N,N,N,N,N
2319,There is no one banging a camera lens against a nail,The man is hammering a nail with a camera,SICK,C,C,N,N,N,Exception,N,N
2320,The man is hammering a nail with a camera,Someone is nailing a camera lens with loud bangs,SICK,N,N,N,N,N,N,N,N
2321,The man is hammering a nail with a camera,Someone is banging a camera lens against a nail,SICK,N,N,N,N,N,N,N,N
2322,A person is slicing an onion,A person is cutting an onion,SICK,E,E,E,E,E,E,E,E
2324,A person near an onion has a cut,A person is cutting an onion,SICK,N,N,N,N,E,N,N,N
2325,One person is cutting an onion,A person is cutting an onion,SICK,E,E,E,N,E,E,E,E
2326,A person is cutting an onion,There is no person cutting an onion,SICK,C,C,C,C,C,C,C,C
2327,A person is eating a cut onion,A person is cutting an onion,SICK,N,N,N,N,E,N,N,N
2328,A person is cutting an onion,One person is cutting an onion,SICK,E,E,E,N,E,E,E,E
2329,There is no person cutting an onion,A person is cutting an onion,SICK,C,C,C,C,C,C,C,C
2330,A person is cutting an onion,A person is eating a cut onion,SICK,N,N,N,N,E,N,N,N
2332,A person is wrapping up an onion,A person is cutting an onion,SICK,N,N,N,N,N,N,N,N
2335,A carrot is being sliced by a woman,A woman is slicing a carrot,SICK,E,E,E,E,E,E,E,E
2336,A woman is slicing a carrot,There is no woman slicing a carrot,SICK,C,C,C,C,C,C,C,C
2337,The oriental lady is cutting a carrot into thin pieces,The oriental lady is cutting a carrot into pieces that are thin,SICK,E,E,E,N,E,E,E,E
2338,The oriental lady is cutting a carrot into thin pieces,The oriental lady is not cutting a carrot into thin pieces,SICK,C,C,C,C,C,C,C,C
2339,A thin lady is piecing together oriental carrot cuts,The oriental lady is cutting a carrot into thin pieces,SICK,N,N,N,N,N,N,N,N
2340,The oriental lady is cutting a carrot into pieces that are thin,A woman is slicing a carrot,SICK,E,E,E,N,N,E,E,N
2341,The oriental lady is not cutting a carrot into thin pieces,A woman is slicing a carrot,SICK,N,N,N,N,N,N,N,N
2342,A thin lady is piecing together oriental carrot cuts,A woman is slicing a carrot,SICK,C,C,N,N,N,E,E,N
2343,The oriental lady is cutting a carrot into thin pieces,A carrot is being sliced by a woman,SICK,E,E,E,N,N,E,E,N
2344,There is no woman slicing a carrot,The oriental lady is cutting a carrot into thin pieces,SICK,C,C,C,N,N,C,C,N
2345,The oriental lady is cutting a carrot into thin pieces,A woman is slicing a carrot,SICK,E,E,E,N,N,E,E,N
2346,A man is pouring a plate of shredded cheese into a pot of sauce,A man is pouring a plate of cheese which is shredded into a pot of sauce,SICK,E,E,E,N,N,N,N,N
2347,A man is pouring a plate of shredded cheese into a pot of sauce,A man is taking a plate of shredded cheese off of a pot of sauce,SICK,N,N,N,N,N,N,N,N
2348,A man is pouring a plate of shredded cheese into a pot of sauce,A man is pouring a pot of cheese sauce into a shredded plate,SICK,C,C,N,N,E,N,N,N
2349,The woman is adding cheese to the sauce,The lady is adding cheese to the sauce,SICK,E,E,E,E,N,N,N,E
2350,The lady is adding cheese to the sauce,The woman is removing cheese from the sauce,SICK,C,C,C,N,N,N,N,N
2351,A man is pouring a plate of shredded cheese into a pot of sauce,The woman is adding cheese to the sauce,SICK,N,N,N,N,N,N,N,N
2352,A man is pouring a plate of shredded cheese into a pot of sauce,The woman is removing cheese from the sauce,SICK,N,N,N,N,N,N,N,N
2353,A man is pouring a plate of cheese which is shredded into a pot of sauce,The lady is adding cheese to the sauce,SICK,C,C,E,N,N,N,N,N
2354,The lady is adding cheese to the sauce,A man is taking a plate of shredded cheese off of a pot of sauce,SICK,N,N,N,N,N,N,N,N
2355,A man is pouring a pot of cheese sauce into a shredded plate,The lady is adding cheese to the sauce,SICK,N,N,N,N,N,N,N,N
2356,The lady is adding cheese to the sauce,A man is pouring a plate of shredded cheese into a pot of sauce,SICK,N,N,N,N,N,N,N,N
2357,Some cameras are being burned by a person with a blow torch,A person is burning some cameras with a blow torch,SICK,E,E,E,E,E,E,E,N
2358,A person is burning some cameras with a blow torch,A person is repairing some cameras with a blow torch,SICK,N,N,N,N,N,N,N,N
2359,A person by some cameras is blowing on a burning torch,A person is burning some cameras with a blow torch,SICK,N,N,N,N,E,N,N,N
2360,The tall person is setting fire to the cameras,The person is setting fire to the cameras,SICK,E,E,E,E,E,E,E,E
2361,There is no person setting fire to the cameras,The person is setting fire to the cameras,SICK,C,C,C,C,C,C,C,C
2362,A person is burning some cameras with a blow torch,The tall person is setting fire to the cameras,SICK,N,N,N,N,N,N,N,N
2363,There is no person setting fire to the cameras,A person is burning some cameras with a blow torch,SICK,C,C,C,N,N,N,N,N
2364,Some cameras are being burned by a person with a blow torch,The person is setting fire to the cameras,SICK,E,E,E,N,E,N,N,N
2365,The person is setting fire to the cameras,A person is repairing some cameras with a blow torch,SICK,N,N,N,N,N,N,N,N
2366,A person by some cameras is blowing on a burning torch,The person is setting fire to the cameras,SICK,N,N,N,N,N,N,N,N
2367,A person is burning some cameras with a blow torch,The person is setting fire to the cameras,SICK,E,E,E,N,E,N,N,N
2368,A man is playing the guitar,One man is playing the guitar,SICK,E,E,E,N,E,E,E,E
2370,The man is playing an acoustic guitar,The man is playing a guitar which is acoustic,SICK,E,E,E,N,E,E,E,E
2371,The man isn't playing an acoustic guitar,The man is playing an acoustic guitar,SICK,C,C,C,C,C,C,C,C
2372,The man is playing a guitar which is acoustic,A man is playing the guitar,SICK,E,E,E,E,E,E,E,E
2373,A man is playing the guitar,The man isn't playing an acoustic guitar,SICK,N,N,N,N,N,N,N,N
2374,The man is playing an acoustic guitar,One man is playing the guitar,SICK,E,E,E,N,N,E,E,N
2375,The man is playing an acoustic guitar,There is no man playing the guitar,SICK,C,C,C,C,C,C,C,C
2376,The man is playing an acoustic guitar,A man is playing the guitar,SICK,E,E,E,E,E,E,E,E
2377,A person is cutting an onion into pieces,A person is dicing an onion,SICK,N,E,E,N,N,N,N,N
2378,A person is cutting an onion into pieces,A person is piecing together an onion,SICK,C,C,N,N,E,N,N,N
2379,A person is slicing a carrot into pieces,A carrot is being sliced into pieces by a person,SICK,E,E,E,E,E,N,E,N
2380,There is no person slicing a carrot into pieces,A person is slicing a carrot into pieces,SICK,C,C,C,C,C,C,C,C
2381,A carrot is being sliced into pieces by a person,A person is cutting an onion into pieces,SICK,N,N,N,N,N,N,N,N
2382,There is no person slicing a carrot into pieces,A person is cutting an onion into pieces,SICK,N,N,N,N,N,N,N,N
2383,A person is slicing a carrot into pieces,A person is dicing an onion,SICK,N,N,N,N,N,N,N,N
2384,A person is piecing together an onion,A person is slicing a carrot into pieces,SICK,C,C,N,N,N,N,N,N
2385,A person is cutting an onion into pieces,A person is slicing a carrot into pieces,SICK,N,N,N,N,N,N,N,N
2386,The man is slicing a potato,The person is carefully slicing a potato,SICK,N,N,N,N,N,N,N,N
2387,The man is slicing a potato,The man is wrapping a potato,SICK,N,N,N,N,N,N,N,N
2388,The man is cooking slices of potato,The man is slicing a potato,SICK,N,N,N,N,E,N,N,N
2389,The man is slicing the potato,The person is slicing the potato,SICK,E,E,E,E,E,E,E,E
2390,The man is slicing the potato,The man is not slicing the potato,SICK,C,C,C,C,C,C,C,C
2391,The man is slicing a potato,The person is slicing the potato,SICK,E,E,E,E,E,E,E,E
2392,The man is not slicing the potato,The man is slicing a potato,SICK,C,C,C,C,C,C,C,C
2393,The person is carefully slicing a potato,The man is slicing the potato,SICK,N,N,N,N,N,N,N,N
2394,The man is slicing the potato,The man is wrapping a potato,SICK,N,N,N,N,N,N,N,N
2395,The man is cooking slices of potato,The man is slicing the potato,SICK,N,N,N,N,E,N,N,N
2396,The man is slicing a potato,The man is slicing the potato,SICK,E,E,E,E,E,E,E,E
2397,Somebody is cutting a tomato,Someone is cutting a tomato,SICK,E,E,E,E,E,E,E,E
2398,There is no one cutting a tomato,Someone is cutting a tomato,SICK,C,C,C,C,C,C,C,C
2399,The lady is slicing a tomato,The woman is slicing a tomato,SICK,E,E,E,E,E,E,E,E
2400,The woman is holding a whole tomato,The lady is slicing a tomato,SICK,N,N,N,N,N,N,N,N
2401,The woman is slicing a tomato,Someone is cutting a tomato,SICK,E,E,E,N,N,E,E,E
2402,Someone is cutting a tomato,The woman is holding a whole tomato,SICK,N,N,N,N,N,N,N,N
2403,Somebody is cutting a tomato,The lady is slicing a tomato,SICK,N,E,E,N,N,N,N,N
2404,The lady is slicing a tomato,There is no one cutting a tomato,SICK,C,C,C,C,C,C,C,C
2405,The lady is slicing a tomato,Someone is cutting a tomato,SICK,E,E,E,N,E,E,E,E
2406,A man is preparing some dish,A man is preparing a dish,SICK,E,E,E,N,E,E,E,E
2407,A man is cleaning a dish,A man is preparing some dish,SICK,C,C,N,N,E,N,N,N
2408,The woman is slicing an onion with a knife,An onion is being sliced with a knife by the woman,SICK,E,E,E,E,E,N,N,E
2409,The woman is not slicing an onion with a knife,The woman is slicing an onion with a knife,SICK,C,C,C,C,C,C,N,C
2410,A man is preparing some dish,An onion is being sliced with a knife by the woman,SICK,N,N,N,N,N,N,N,N
2411,A man is preparing some dish,The woman is not slicing an onion with a knife,SICK,N,N,N,N,N,N,N,N
2412,The woman is slicing an onion with a knife,A man is preparing a dish,SICK,N,N,N,N,N,N,N,N
2413,A man is cleaning a dish,The woman is slicing an onion with a knife,SICK,N,N,N,N,N,N,N,N
2414,The woman is slicing an onion with a knife,A man is preparing some dish,SICK,N,N,N,N,N,N,N,N
2415,Some runners are competing in a race,Runners are competing in a race,SICK,E,E,E,N,E,E,E,E
2416,Runners are competing in a race,Runners are not taking part in the race,SICK,C,C,C,N,N,N,N,N
2417,Runners are racing in a competition,Runners are competing in a race,SICK,E,E,E,N,N,N,N,N
2418,The runners are racing impetuously around a track,The runners are racing around a track,SICK,E,E,E,E,E,E,E,E
2419,The runners are racing around a track,The runners are not racing around a track,SICK,C,C,C,C,C,C,C,C
2420,The runners are racing impetuously around a track,Runners are competing in a race,SICK,E,E,E,N,N,N,N,N
2421,Runners are competing in a race,The runners are not racing around a track,SICK,N,N,N,N,N,N,N,N
2422,Some runners are competing in a race,The runners are racing around a track,SICK,N,N,N,N,N,N,N,N
2423,The runners are racing around a track,Runners are not taking part in the race,SICK,C,C,C,N,C,N,N,N
2424,The runners are racing around a track,Runners are racing in a competition,SICK,N,C,N,N,E,N,N,N
2425,The runners are racing around a track,Runners are competing in a race,SICK,E,E,E,N,N,N,N,N
2426,A man is racing,A man is running,SICK,N,E,N,N,E,E,E,E
2427,A man is running,A man is standing still,SICK,N,N,N,N,N,N,N,N
2428,A man is running down the road,One man is running down the road,SICK,E,E,E,N,E,E,E,E
2429,There is no man running down the road,A man is running down the road,SICK,C,C,C,C,C,N,C,N
2430,One man is running down the road,A man is running,SICK,E,E,E,N,E,E,E,N
2431,A man is running,There is no man running down the road,SICK,N,N,N,N,N,N,N,N
2432,A man is racing,A man is running down the road,SICK,N,N,N,N,N,N,N,N
2433,A man is running down the road,A man is standing still,SICK,N,N,N,N,N,N,N,N
2434,A man is running down the road,A man is running,SICK,E,E,E,E,E,E,E,N
2435,The keyboard is being played with his nose by a man,A man is playing the keyboard with his nose,SICK,E,E,E,E,E,N,E,E
2436,A man is idling,A man is playing the keyboard with his nose,SICK,N,N,N,N,N,N,N,N
2437,A man at the keyboard is playing with his nose,A man is playing the keyboard with his nose,SICK,E,E,E,N,E,N,N,N
2438,The man is funnily playing the piano with his nose,The man is playing the piano with his nose,SICK,E,E,E,E,E,E,E,E
2439,The man is playing the piano with his nose,There is no man playing the piano with his nose,SICK,C,C,C,C,C,C,C,C
2440,The man is funnily playing the piano with his nose,A man is playing the keyboard with his nose,SICK,E,E,E,N,E,N,N,N
2441,There is no man playing the piano with his nose,A man is playing the keyboard with his nose,SICK,C,C,C,N,C,Exception,N,C
2442,The man is playing the piano with his nose,The keyboard is being played with his nose by a man,SICK,E,E,E,N,N,N,N,N
2443,A man is idling,The man is playing the piano with his nose,SICK,N,N,N,N,N,N,N,N
2444,A man at the keyboard is playing with his nose,The man is playing the piano with his nose,SICK,N,N,N,N,N,N,N,N
2445,The man is playing the piano with his nose,A man is playing the keyboard with his nose,SICK,E,E,E,N,E,N,N,N
2446,A baby rhino is following an adult rhino,"A rhino, which is little, is following an adult rhino",SICK,E,E,E,N,N,N,N,N
2447,A baby rhino is shunning an adult rhino,A baby rhino is following an adult rhino,SICK,E,E,C,N,N,N,N,N
2448,A baby rhino is following an adult rhino,A baby and an adult are being followed by a rhino,SICK,N,C,N,N,C,N,N,N
2449,"A rhino, which is a youngling, is walking around a pen with its mother",A baby rhino is walking around a pen with its mother,SICK,E,E,E,N,N,N,N,N
2450,A baby rhino is walking around a pen with its mother,A baby rhino and its mother are standing in a pen,SICK,N,N,N,N,N,N,N,N
2451,A baby rhino is walking around a pen with its mother,A mother is giving the baby a pen with a walking rhino on it,SICK,C,C,N,N,E,N,N,N
2452,A baby rhino is following an adult rhino,"A rhino, which is a youngling, is walking around a pen with its mother",SICK,N,N,E,N,N,N,N,N
2453,A baby rhino and its mother are standing in a pen,A baby rhino is following an adult rhino,SICK,N,N,N,N,N,N,N,N
2454,A baby rhino is following an adult rhino,A mother is giving the baby a pen with a walking rhino on it,SICK,N,N,N,N,N,N,N,N
2455,A baby rhino is walking around a pen with its mother,"A rhino, which is little, is following an adult rhino",SICK,N,N,E,N,N,N,N,N
2456,A baby rhino is shunning an adult rhino,A baby rhino is walking around a pen with its mother,SICK,N,N,N,N,N,N,N,N
2457,A baby rhino is walking around a pen with its mother,A baby and an adult are being followed by a rhino,SICK,N,N,N,N,N,N,N,N
2458,A baby rhino is walking around a pen with its mother,A baby rhino is following an adult rhino,SICK,N,N,E,N,N,N,N,N
2459,A man is riding a motorbike,A man is riding a motorcycle,SICK,E,E,E,E,E,E,E,E
2460,A man is riding a motorcycle,A man is getting off the motorcycle,SICK,C,C,N,N,E,N,N,N
2461,A man is dangerously riding a motorcycle through a town,A man is riding a motorcycle through the town,SICK,E,E,E,E,N,E,E,E
2462,There is no man riding a motorcycle through the town,A man is riding a motorcycle through the town,SICK,C,C,C,C,C,C,C,C
2463,A man is dangerously riding a motorcycle through a town,A man is riding a motorcycle,SICK,E,E,E,E,N,E,E,E
2464,There is no man riding a motorcycle through the town,A man is riding a motorcycle,SICK,N,C,N,N,N,N,N,N
2465,A man is riding a motorcycle through the town,A man is riding a motorbike,SICK,E,E,E,N,N,E,E,N
2466,A man is riding a motorcycle through the town,A man is getting off the motorcycle,SICK,C,C,N,N,E,N,N,N
2467,A man is riding a motorcycle through the town,A man is riding a motorcycle,SICK,E,E,E,E,E,E,E,E
2468,A group of people is singing,A few people are singing,SICK,E,E,E,N,N,E,E,E
2469,A group of people is singing,A group of people is silent,SICK,N,N,N,N,N,N,N,N
2470,Some people are singing,Some persons are singing,SICK,E,E,E,E,N,N,N,E
2471,Some people are singing,Some people are silent,SICK,N,N,N,N,N,N,N,N
2472,Some persons are singing,A group of people is singing,SICK,E,E,E,E,N,N,N,E
2473,Some people are silent,A group of people is singing,SICK,N,N,N,N,N,N,N,N
2474,Some people are singing,A few people are singing,SICK,E,E,E,N,N,E,E,E
2475,Some people are singing,A group of people is silent,SICK,N,N,N,N,N,N,N,N
2476,Some people are singing,A group of people is singing,SICK,E,E,E,E,E,E,E,E
2477,A man is playing a trumpet brightly,A man is playing a trumpet,SICK,E,E,E,E,E,E,E,E
2478,A man is playing a trumpet,A man is putting a trumpet away,SICK,N,N,N,N,N,N,N,N
2479,The man is playing a guitar,A guitar is being played by the man,SICK,E,E,E,E,E,E,E,E
2480,The man is playing a guitar,The man is not playing a guitar,SICK,C,C,C,C,C,C,C,C
2481,A guitar is being played by the man,A man is playing a trumpet,SICK,N,N,N,N,N,N,N,N
2482,The man is not playing a guitar,A man is playing a trumpet,SICK,N,N,N,N,N,N,N,N
2483,The man is playing a guitar,A man is playing a trumpet brightly,SICK,N,N,N,N,N,N,N,N
2484,A man is putting a trumpet away,The man is playing a guitar,SICK,N,N,N,N,N,N,N,N
2485,The man is playing a guitar,A man is playing a trumpet,SICK,N,N,N,N,N,N,N,N
2486,One man is dancing,A man is dancing,SICK,E,E,E,N,E,E,E,E
2487,A man is dancing,A man is motionless,SICK,N,N,N,N,N,N,N,N
2489,A man is speaking,A man is silent,SICK,C,C,C,N,N,N,N,N
2490,A man is dancing,A man is talking,SICK,N,N,N,N,N,N,N,N
2491,A man is dancing,A man is silent,SICK,N,N,N,N,N,N,N,N
2492,A man is speaking,One man is dancing,SICK,N,N,N,N,N,N,N,N
2493,A man is speaking,A man is motionless,SICK,N,N,N,N,N,N,N,N
2495,A man is carefully climbing a rope,A man is climbing a rope,SICK,E,E,E,E,E,E,E,E
2496,A man is untying a rope,A man is climbing a rope,SICK,C,C,N,N,E,N,N,N
2497,A man is being roped before a climb,A man is climbing a rope,SICK,N,N,N,N,N,N,N,N
2498,One panda is climbing,A panda is climbing,SICK,E,E,E,N,E,E,E,E
2499,There is no panda climbing,A panda is climbing,SICK,C,C,C,C,C,C,C,C
2500,One panda is climbing,A man is climbing a rope,SICK,N,N,N,N,N,N,N,N
2501,There is no panda climbing,A man is climbing a rope,SICK,N,N,N,N,C,N,N,N
2502,A man is carefully climbing a rope,A panda is climbing,SICK,N,N,N,N,N,N,N,N
2503,A panda is climbing,A man is untying a rope,SICK,N,N,N,N,N,N,N,N
2504,A man is being roped before a climb,A panda is climbing,SICK,N,N,N,N,N,N,N,N
2505,A panda is climbing,A man is climbing a rope,SICK,N,N,N,N,N,N,N,N
2506,A woman is dancing beautifully in a cage,A woman is dancing in a cage,SICK,E,E,E,E,E,E,E,E
2507,A woman is dancing in a cage,There is no woman dancing in a cage,SICK,C,C,C,C,C,C,C,C
2508,A woman is being caged for the dance,A woman is dancing in a cage,SICK,N,N,N,N,N,N,N,N
2509,The woman is dancing,The lady is dancing,SICK,E,E,E,E,N,N,N,E
2510,The woman is dancing,The woman is not dancing,SICK,C,C,C,C,C,C,C,C
2511,A woman is dancing in a cage,The lady is dancing,SICK,E,E,E,E,N,N,N,E
2512,The woman is not dancing,A woman is dancing in a cage,SICK,C,C,N,N,C,C,C,C
2513,A woman is dancing beautifully in a cage,The woman is dancing,SICK,E,E,E,E,E,E,E,E
2514,There is no woman dancing in a cage,The woman is dancing,SICK,N,N,N,N,N,N,N,N
2515,A woman is being caged for the dance,The woman is dancing,SICK,N,N,N,N,E,N,N,N
2516,A woman is dancing in a cage,The woman is dancing,SICK,E,E,E,E,E,E,E,E
2517,Four people are floating on a raft,A few people are floating on a raft,SICK,E,E,E,N,N,E,E,E
2518,Four people are floating on a raft,Nobody is floating on a raft,SICK,C,C,C,N,N,C,C,C
2519,People are riding and paddling a raft,Some persons are riding and paddling a raft,SICK,E,E,E,N,N,N,N,E
2520,People are not riding and paddling a raft,People are riding and paddling a raft,SICK,C,C,C,C,C,C,C,C
2521,People are riding and paddling a raft,People are paddling near a raft that is being ridden,SICK,C,E,N,N,E,N,N,N
2522,Some persons are riding and paddling a raft,Four people are floating on a raft,SICK,N,N,N,N,N,N,N,N
2523,Four people are floating on a raft,People are not riding and paddling a raft,SICK,N,N,N,N,N,N,N,N
2524,People are paddling near a raft that is being ridden,Four people are floating on a raft,SICK,N,N,N,N,E,N,N,N
2525,A few people are floating on a raft,People are riding and paddling a raft,SICK,N,N,N,N,N,N,N,N
2526,People are riding and paddling a raft,Nobody is floating on a raft,SICK,C,C,C,N,N,N,N,N
2527,People are riding and paddling a raft,Four people are floating on a raft,SICK,N,N,N,N,E,N,N,N
2528,A cat is eagerly eating corn on the cob,A cat is eating corn on the cob,SICK,E,E,E,E,E,N,E,N
2529,A cat is eating corn on the cob,There is no cat eating corn on the cob,SICK,C,C,C,C,C,C,N,C
2530,A cat is eating some corn,The cat is eating some corn,SICK,E,E,E,E,E,E,E,E
2531,A cat is walking away from some corn,A cat is eating some corn,SICK,N,C,N,N,E,N,N,N
2532,A cat is eating corn on the cob,The cat is eating some corn,SICK,E,E,E,N,E,E,E,E
2533,A cat is walking away from some corn,A cat is eating corn on the cob,SICK,N,N,N,N,N,N,N,N
2534,A cat is eagerly eating corn on the cob,A cat is eating some corn,SICK,E,E,E,N,E,N,E,N
2535,There is no cat eating corn on the cob,A cat is eating some corn,SICK,C,C,N,N,N,N,N,N
2536,A cat is eating corn on the cob,A cat is eating some corn,SICK,E,E,E,N,E,E,E,E
2537,Someone is slicing a tomato,Someone is cutting a tomato,SICK,E,E,E,E,E,E,E,E
2538,Someone is slicing a tomato,Nobody is slicing a tomato,SICK,C,C,C,C,C,C,C,C
2539,The person is quickly slicing a vegetable,The person is slicing a vegetable,SICK,E,E,E,E,E,E,E,E
2540,The person isn't slicing a vegetable,The person is slicing a vegetable,SICK,C,C,C,C,C,C,C,C
2541,The person is quickly slicing a vegetable,Someone is slicing a tomato,SICK,N,N,N,N,N,N,N,N
2542,Someone is slicing a tomato,The person isn't slicing a vegetable,SICK,C,C,N,N,N,N,N,C
2543,Someone is cutting a tomato,The person is slicing a vegetable,SICK,N,E,E,N,N,N,N,N
